"Type","Target","Formula","Multiplier","Element","Time","Effects","Auto Target","SB","Max","ID"
"BLK","Single","Magical","1.50","Fire","1.80","One single attack (1.50)","Lowest HP% enemy","55","10","30111001"
"BLK","Single","Magical","2.90","Fire","1.80","One single attack (2.90)","Lowest HP% enemy","55","10","30111002"
"BLK","Single","Magical","4.90","Fire","1.80","One single attack (4.90)","Lowest HP% enemy","60","10","30111003"
"BLK","Single","Magical","9.00","Fire","1.80","One single attack (9.00)","Lowest HP% enemy","70","10","30111004"
"BLK","Single","Magical","1.50","Ice","1.80","One single attack (1.50)","Lowest HP% enemy","55","10","30111011"
"BLK","Single","Magical","2.90","Ice","1.80","One single attack (2.90)","Lowest HP% enemy","55","10","30111012"
"BLK","Single","Magical","4.90","Ice","1.80","One single attack (4.90)","Lowest HP% enemy","60","10","30111013"
"BLK","Single","Magical","9.00","Ice","1.80","One single attack (9.00)","Lowest HP% enemy","70","10","30111014"
"BLK","Single","Magical","1.50","Lightning","1.80","One single attack (1.50)","Lowest HP% enemy","55","10","30111021"
"BLK","Single","Magical","2.90","Lightning","1.80","One single attack (2.90)","Lowest HP% enemy","55","10","30111022"
"BLK","Single","Magical","4.90","Lightning","1.80","One single attack (4.90)","Lowest HP% enemy","60","10","30111023"
"BLK","Single","Magical","9.00","Lightning","1.80","One single attack (9.00)","Lowest HP% enemy","70","10","30111024"
"BLK","Single","Magical","1.55","Water","1.80","One single attack (1.55)","Lowest HP% enemy","55","10","30111031"
"BLK","Single","Magical","3.05","Water","1.80","One single attack (3.05)","Lowest HP% enemy","55","10","30111032"
"BLK","Single","Magical","4.90","Water","1.50","One single attack (4.90)","Lowest HP% enemy","60","10","30111033"
"BLK","Single","Magical","9.00","Water","1.50","One single attack (9.00)","Lowest HP% enemy","70","10","30111034"
"BLK","Single","Magical","2.80","Poison","1.80","One single attack (2.80), causes [Poison] (3%)","Lowest HP% enemy","55","10","30111041"
"BLK","Single","Magical","4.80","Poison","1.80","One single attack (4.80), causes [Poison] (3%)","Lowest HP% enemy","60","10","30111042"
"BLK","Single","Magical","8.80","Poison","1.80","One single attack (8.80), causes [Poison] (3%)","Lowest HP% enemy","70","10","30111043"
