"Character","Source","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID"
"Tyro","Keeper's Tome","","Book of Despair","PHY","Single enemy","Physical","2.10","NE","1.65","One single attack (2.10), [ATK and MAG -20%] for 15 seconds","Y","Random enemy","60","Support","戦意喪失の章","30510071"
"Tyro","Keeper's Tome","","Book of Retribution","PHY","Single enemy","Physical","2.10","NE","1.65","One single attack (2.10), [DEF and RES -20%] for 15 seconds","Y","Random enemy","60","Support","因果応報の章","30510072"
"Elarra","Magika Coat","","Pulchra Magika","NAT","Self","","","","1.65","[MND +20%] for 25 seconds, grants [Quick Cast 3]","Y","Self","50","White Magic","フロース・プルクラ","30512521"
"Elarra","Magika Coat","","Fomenta Magika","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","Y","All allies","50","White Magic","フロース・オドル","30512522"
"Warrior of Light","Ultimate Shield","","Stroke of Light","PHY","Single enemy","Physical","2.40","Holy, NE","1.65","1/2/3/4/5 single attacks (0.48 each) at 327/654/1700/2490 DEF","Y","Lowest HP% enemy","50","Knight","ストライクオブライト","30510542"
"Warrior of Light","Ultimate Shield","","Crystalize","PHY","All enemies","Physical","1.30","Holy, NE","1.65","Two group attacks (0.65 each), [DEF +50%] to the user for 25 seconds","Y","All enemies","50","Knight","クリスタルフォーム","30510541"
"Garland","Dark Rebirth","","Deathblow","PHY","Single enemy","Physical","2.30","Dark","1.65","One single attack (2.30), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","50","Darkness","デスクロウ","30510161"
"Garland","Dark Rebirth","","Wave of Darkness","PHY","All enemies","Physical","1.26","Dark","1.65","Two group ranged attacks (0.63 each), 80% additional critical chance","Y","All enemies","50","Darkness","やみのつなみ","30510162"
"Garland","Twin Swords","","Chain Cast","PHY","Single enemy","Physical","0.80","Dark, NE","1.65","Two single attacks (0.40 each)","Y","Lowest HP% enemy","50","Darkness","チェーンバンプ","30512301"
"Garland","Twin Swords","","Twist Drill","PHY","Single enemy","Physical","2.16","Dark, NE","1.65","4/5/6/7 single attacks (0.54/0.89/1.05/1.25 each) scaling with Chain Cast uses, 0/5/10/25% additional critical chance","Y","Lowest HP% enemy","50","Darkness","ツイストドリル","30512302"
"Sarah","Age-old Hymn","","Inviolate Prayer","WHT","Single ally","Magical","3.00","Holy","0.01","Restores HP (80), grants [High Regen], damages undeads","N","Lowest HP% ally","50","White Magic","清き祈り","30510901"
"Sarah","Age-old Hymn","","Simple Plea","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","N","All allies","50","White Magic","ささやかな願い","30510902"
"Wol","Shijin Spiral","","Sneaky Attack","PHY","Single enemy","Physical","2.60","NE","1.65","Four single attacks (0.65 each), causes [Stun] (9%)","Y","Lowest HP% enemy","50","Combat","トリックアタック","30511491"
"Wol","Shijin Spiral","","Break Slayer","PHY","All enemies","Physical","2.40","NE","1.65","Two group attacks (1.20 each), [ATK and DEF -20%] for 15 seconds","Y","All enemies","50","Support","ブレイクキラー","30511492"
"Wol","Howl of Hell","","Reaver's Impact","PHY","Single enemy","Physical","1.95","Earth, Holy","1.65","Three single attacks (0.65 each), grants [Heavy Charge +1] to the user","Y","Lowest HP% enemy","50","Heavy","ヘルインパクト","30512821"
"Wol","Howl of Hell","","Heavy Break","PHY","Single enemy","Physical","2.32","Earth, Holy","1.65","Four single attacks (0.58 each), [ATK and MAG -20%/-30%/-50%] for 15 seconds at Heavy Charge 0/1/2, [Heavy Charge =0] to the user","Y","Random enemy without status","50","Heavy","ヘヴィブレイク","30512822"
"Echo","Echo's Prize","","Punishing Thunder","BLK","Single enemy","Magical","10.48","Lightning, NE","1.65","Four single attacks (2.62 each)","Y","Lowest HP% enemy","50","Black Magic","おしおきサンダー","30511501"
"Echo","Echo's Prize","","Magic Meddling","NAT","All enemies","","","","1.65","[MAG -40%] for 15 seconds, causes [Stop] (20%)","N","All enemies","50","Special","ぼうがいストップ","30511502"
"Echo","Echoing Mischief","","Faltering Blade","BLK","Single enemy","Magical","4.90","Holy, NE","1.65","One single attack (4.90), [ATK -40%] for 15 seconds","Y","Random enemy without status","50","Black Magic","しっかりブレイク","30511931"
"Echo","Echoing Mischief","","Faltering Magic","BLK","Single enemy","Magical","4.90","Holy, NE","1.65","One single attack (4.90), [MAG -50%] for 15 seconds","Y","Random enemy without status","50","Black Magic","がっかりマジック","30511932"
"Master","Show of Courage","","Storm and Strife","PHY","Single enemy","Physical","1.60","NE","1.65","Four single attacks (0.40 each), eight attacks if the user has [Unbound Fury]","Y","Lowest HP% enemy","50","Monk","疾風怒濤","30510872"
"Master","Show of Courage","","Bitter Blow","PHY","Single enemy","Physical","2.40","NE","1.65","Four single attacks (0.60 each), grants [Unbound Fury] to the user for 25 seconds","Y","Lowest HP% enemy","50","Monk","背水一戦","30510871"
"Matoya","Inner Eye","","Firefrost Chant","BLK","Single enemy","Magical","10.48","Fire, Ice","1.65","Four single attacks (2.62 each)","Y","Lowest HP% enemy","50","Black Magic","二重詠唱・対","30510881"
"Matoya","Inner Eye","","Flamebolt Chant","BLK","Single enemy","Magical","10.48","Fire, Lightning","1.65","Four single attacks (2.62 each)","Y","Lowest HP% enemy","50","Black Magic","二重詠唱・極","30510882"
"Meia","Famfrit","","Pallida Fructus","SUM","Self","","","","1.65","Grants [Magic Bargain] to the user for 20 seconds, grants [Summon Famfrit] to the user","N","Self","50","Summoning","パッリダ・フルクトゥス","30511481"
"Meia","Famfrit","","Pallida Fructus (S)","SUM","All enemies","Magical","17.00","Water, NE","1.65","Four group attacks (4.25 each), minimum damage 1100, removes [Summon Famfrit] to the user","N","All enemies","50","Summoning","パッリダ・フルクトゥス","30511481"
"Meia","Famfrit","","Pallida Schelling","SUM","Single enemy","Magical","8.96","Water, NE","1.65","Four single attacks (2.24 each), minimum damage 1100","N","Lowest HP% enemy","50","Summoning","パッリダ・シェリング","30511482"
"Meia","Famfrit","","Pallida Schelling (S)","SUM","Single enemy","Magical","9.96","Water, NE","1.65","Four single attacks (2.49 each), minimum damage 1100","N","Lowest HP% enemy","50","Summoning","パッリダ・シェリング","30511482"
"Thief (I)","Invisibreak","","Storm Trick","PHY","Single enemy","Physical","2.20","Wind, Poison","1.20","Four single attacks (0.55 each), grants [Thief Quick Cast 2] to the user","N","Lowest HP% enemy","50","Thief","ストームトリック","30512311"
