"ID","Character","Name","Effect"
"201000200","Tyro","Spellgird","Reduces damage taken by BLK attacks by 10%"
"201000201","Tyro","Secret of the Archives","Increases the duration of stat buffs by 40%"
"201000202","Tyro","Archival Secrets","Grants [Instant Cast 2] at the beginning of the battle"
"201000203","Tyro","Phoenix Protector","PHY attacks deal 25% more damage when equipping a shield"
"201000204","Tyro","Heroic Aspiration","ATK, DEF, MAG, RES and MND +30% when equipping a book"
"201000205","Tyro","Wisdom's Pupil","Increases damage dealt by 20% when exploiting elemental weakness"
"201000206","Tyro","Bravery: Tyro","Casts [Quick Cast 3] after using three Support abilities, and Grants [Instant Cast 1] and [Support SB Gauge +25% Boost] at the start of battle"
"201000501","Elarra","To Be Human","WHT abilities restore 15% more HP"
"201000502","Elarra","Historic Brilliance","35% chance to dualcast White Magic abilities"
"201000503","Elarra","Aspiring Artisan","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability"
"201000504","Elarra","Heavenly Miracle","Restores HP for 100% of the user's maximum HP and grants [Last Stand] when HP fall below 20%"
"201004300","Biggs","Reckless Zeal","PHY attacks deal 10% more damage"
"201004301","Biggs","Defiant Cry","Grants [Last Stand] and [Biggs Trance] when HP fall below 20%"
"201004302","Biggs","Hidden Valor","Grants [Attach Earth] at the beginning of the battle"
"201004303","Biggs","Fearsome Demon","PHY attacks deal 25% more damage when equipping heavy armor"
"201004304","Biggs","Bravery: Biggs","Increases Earth damage dealt by 10%, 100% chance to dualcast every third Earth ability, Grants [200% ATB 1] at the beginning of the battle"
"201004400","Wedge","Animal Ally","Increases Wind damage dealt by 10%"
"201004401","Wedge","Quick Study","35% chance to dualcast abilities that deal Wind damage"
"201004402","Wedge","Hidden Kindness","Grants [Attach Wind] at the beginning of the battle"
"201004403","Wedge","Divine Squad","100% chance to remove Silence and Blind to the user after being afflicted with Silence or Blind"
"201004404","Wedge","Onslaught (Wedge)","35% chance to cast Spiral Arc after dealing damage with a Wind attack"
"201004500","Dr. Mog","Hardened Resistance","Reduces damage taken by BLK attacks by 10%"
"201004501","Dr. Mog","Master of Destruction","35% chance to dualcast Black Magic or Summoning abilities"
"201004502","Dr. Mog","Master of Renewal","25% chance to dualcast White Magic abilities"
"201004503","Dr. Mog","Overflowing Magic","35% chance to grant [Quick Cast 1] to the user after using a Black Magic or Summoning ability"
"201004504","Dr. Mog","Archives' Promise","Grants [Dr. Mog Trance] when HP fall below 20%"
"201010100","Warrior of Light","Chosen of the Light","Reduces damage taken by Holy attacks by 10%"
"201010101","Warrior of Light","Unfaltering Light","Grants [Last Stand] and [Sentinel] at the beginning of the battle"
"201010102","Warrior of Light","Light Within","ATK +3% for each hit taken by damaging attacks, up to +35%"
"201010103","Warrior of Light","Absolute Justice","Grants [Attach Holy] at the beginning of the battle"
"201010104","Warrior of Light","Steadfast Warrior","25% chance to cast an ability (PHY: single, 3x 0.42 physical Holy/NE, restores 1500 HP to the lowest HP% ally) after taking damage from an enemy"
"201010105","Warrior of Light","Cycle Breaker","Grants [Quick Cast 3] at the beginning of the battle"
"201010106","Warrior of Light","Re-action (Warrior of Light)","100% chance to dualcast every third Holy ability"
"201010200","Garland","Embracer of the Dark","Increases Dark damage dealt by 10%"
"201010201","Garland","Font of Darkness","40% chance of restoring HP to the user for 40% of the damage dealt with single-target Dark attacks"
"201010202","Garland","Frenzied Warrior","Restores HP for 100% of the user's maximum HP and grants [Extended Quick Cast] when HP fall below 20%"
"201010203","Garland","Timeless Hatred","25% chance to dualcast Darkness abilities"
"201010204","Garland","Battlelust","Grants [Attach Dark] at the beginning of the battle"
"201010205","Garland","Onslaught (Garland)","35% chance to cast an ability (PHY: single, 4x 0.54 physical Dark/NE) after dealing damage with a Dark ability"
"201010300","Sarah","Gracious Princess","WHT abilities restore 15% more HP"
"201010302","Sarah","Beloved Princess","35% chance to dualcast White Magic abilities"
"201010301","Sarah","Warriors' Ballad","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability"
