"Realm","Character","Name","Tier","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Minimum LB Points","Limit Break Bonus","Mastery Bonus","Relic","Name (JP)","ID"
"Core","Biggs","Unshackled Power","LBO","PHY","Single enemy","Physical","24.00","Earth, Holy","2.50","Three single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [100% Critical 2] and [High Quick Cast 2] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Greatsword (Core)","オレ様流・マッスル全開","23310006"
"Core","Biggs","Woven Bond: Biggs","LBC","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Core/Beyond Chain (max 150, field +0%) or adds 25 to the current Core/Beyond Chain maximum limit, grants [Chain Force Mode (Biggs)] and [Instant ATB 1] to the user
","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Enhancer (Core)","紡絆・ビッグス","23310016"
"Core","Wedge","Tornado Star","LBO","NAT","Single enemy","Hybrid","-","Wind","2.50","Three single hybrid ranged attacks (1.00 or 3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF and RES, 100% additional critical chance, grants [Instant Cast 3] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Wedge's Guise (Core)","トルネドスター","23320007"
"Core","Dr. Mog","Soaring Fireworks","LBO","BLK","Single enemy","Magical","96.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Firework Rod (Core)"," 打ち上げ花火","23060110"
"Core","Dr. Mog","Soaring Moogle","LBG","NAT","All allies","","","","0.01","Grants [Quick Cast 2], grants [ATK, DEF, MAG and RES +15% (25s)] if 5 Core/Beyond all are alive","N","All allies","0","Prismatic Damage Up","MAG +10","Firework Launcher (Core)","打ち上げ！モーグリ","23060112"
"Core","Tyro","Swift Flash (Tyro)","LBG","NAT","All allies","","","","0.01","Grants [Quick Cast 1], grants [Soul Break Gauge +250] and [Limit Break Gauge +250] to the user","N","All allies","0","Dual Blink 1","ATK +5, MAG +5","Crystal Shield (Core)","迅閃【デシ】","20140033"
"I","Warrior of Light","Holy Raiment (W. of Light)","LBG","NAT","All allies","","","","0.01","Grants [Attach Holy]","N","All allies","250","Holy Damage Up","ATK +10","Genji Glove (I)","聖装【光の戦士】","20330020"
"I","Warrior of Light","Eternal Sword","LBO","PHY","Single enemy","Physical","40.00","Holy","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Lightbringer (I)","エターナルソード","22300014"
"I","Warrior of Light","Woven Bond: Warrior of Light (Holy)","LBC","PHY","Single enemy","Physical","8.00","Holy, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Holy Chain (max 150, field +0%) or adds 25 to the current Holy Chain maximum limit, grants [Chain Force Mode (Warrior of Light)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Lustrous Sword (I)","紡絆・光の戦士聖","20330028"
"I","Garland","Dark Raiment (Garland)","LBG","NAT","All allies","","","","0.01","Grants [Attach Dark]","N","All allies","250","Dark Damage Up","ATK +10","Balmung (I)","闇装【ガーランド】","22310019"
"I","Garland","Dark Flash (Garland)","LBG","PHY","Single enemy","Physical","3.36","Dark, NE","0.01","One single attack (3.36) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Dark Damage Up","ATK +10","Deathbringer (I)","闇閃【ガーランド】","22310021"
"I","Garland","Woven Bond: Garland (Dark)","LBC","PHY","Single enemy","Physical","8.00","Dark, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit, grants [Chain Force Mode (Garland - Dark)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Dual Haken (I)","紡絆・ガーランド闇","22310027"
"I","Wol","Axle Cutter","LBO","PHY","Single enemy","Physical","40.00","Earth, Holy","3.75","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Nymurod Kris (I)","アクセルカッター","22280017"
"I","Wol","Woven Bond: Wol (Holy)","LBC","PHY","Single enemy","Physical","8.00","Holy, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Holy Chain (max 150, field +0%) or adds 25 to the current Holy Chain maximum limit, grants [Chain Force Mode (Wol - Holy)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Tyrfing (I)","紡絆・ウォル聖","22280023"
"I","Matoya","Woven Bond: Matoya","LBC","BLK","Single enemy","Magical","26.00","Ice, Lightning, Fire, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates I Chain (150 max, field +0%) or adds 25 to the current I Chain maximum limit, grants [Chain Force Mode (Matoya)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Cypress Pole (I)","紡絆・マトーヤ","22590015"
"I","Meia","Woven Bond: Meia (Water)","LBC","BLK","Single enemy","Magical","26.00","Water, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Water Chain (max 150, field +0%) or adds 25 to the current Water Chain maximum limit, grants [Chain Force Mode (Meia)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Lunatic Widow (I)","紡絆・メイア水","22750018"
"I","Meia","Dia de Muerto","LBO","BLK","Single enemy","Magical","120.00","Water","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Damselwing (I)","ディア・デ・ムエルト","22750019"
"I","Thief (I)","Woven Bond: Thief (I)","LBC","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","Ten single attacks (0.80 each) capped at 19999, element of entry damage changes to Poison/NE if the user has any Attach Poison, activates I Chain (max 150, field +0%) or adds 25 to the current I Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Thief (I))] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Tonberry Knife (I)","紡絆・シーフ(I)","23140013"
"I","Thief (I)","Whirling Edge","LBO","PHY","Single enemy","Physical","40.00","Wind, Poison","3.75","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Variable Dagger (I)","旋刃トラップ","23140017"
"II","Firion","Wild Rose Fist","LBO","PHY","Single enemy","Physical","32.00","Holy, Ice, Fire","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Medical Shield (II)","のばらの拳","20270017"
"II","Firion","Woven Bond: Firion (Fire)","LBC","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit, grants [Chain Force Mode (Firion)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Durandal (II)","紡絆・フリオニール炎","20270034"
"II","Leon","Woven Bond: Leon","LBC","PHY","Single enemy","Physical","8.00","Dark, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates II Chain (max 150, field +0%) or adds 25 to the current II Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Leon] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Blood Armor (II)","紡絆・レオンハルト","20580022"
"II","Minwu","Holy Raiment (Minwu)","LBG","NAT","All allies","","","","0.01","Grants [Attach Holy]","N","All allies","250","Holy Damage Up","MND +10","Maduin Gear (II)","聖装【ミンウ】","22120013"
"II","Minwu","Holy Verdict","LBO","WHT","Single enemy","Magical","126.80","Holy","2.50","Five single attacks (3.17 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Golden Staff (II)","ホーリージャッジメント","22120017"
"II","Minwu","Woven Bond: Minwu (Holy)","LBC","WHT","Single enemy","Magical","27.00","Holy","0.01","Ten single attacks (2.70 each) capped at 19999, activates Holy Chain (max 150, field +0%) or adds 25 to the current Holy Chain maximum limit, grants [Chain Force Mode (Minwu - Holy)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Holy Rod (II)","紡絆・ミンウ聖","22120025"
"II","Josef","Heroic Hardhead","LBO","PHY","Single enemy","Physical","32.00","Ice","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [Dual Blink 1] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Ice Shield (II)","漢の堅頭","20190017"
"II","Josef","Frost Flash (Josef)","LBG","PHY","Single enemy","Physical","3.36","Ice, NE","0.01","One single attack (3.36) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Ice Damage Up","ATK +10","Chakra Band (II)","氷閃【ヨーゼフ】","20190023"
"II","Josef","Woven Bond: Josef - Ice","LBC","PHY","Single enemy","Physical","8.00","Ice, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Ice Chain (max 150, field +0%) or adds 25 to the current Ice Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Josef - Ice)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Crystal Armlet (II)","紡絆・ヨーゼフ氷","20190026"
"II","Emperor","Imperial Elements","LBO","BLK","Single enemy","Magical","96.00","Dark, Earth, Wind","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Rod of Darkness (II)","インペリアルエレメンツ","22640021"
"II","Leila","Pirate's Knife","LBO","PHY","Single enemy","Physical","40.00","Water, Poison","3.75","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Crimson Glare (II)","パイレーツ・ナイフ","22130020"
"II","Leila","Woven Bond: Leila (Water)","LBC","PHY","Single enemy","Physical","8.00","Water, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Water Chain (max 150, field +0%) or adds 25 to the current Water Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Leila)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Eurytos Bow (II)","紡絆・レイラ水","22130024"
"II","Leila","Woven Bond: Leila (Poison)","LBC","PHY","Single enemy","Physical","8.00","Poison, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Poison Chain (max 150, field +0%) or adds 25 to the current Poison Chain maximum limit, grants [Chain Force Mode (Leila - Poison)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Leila's Thief's Knife (II)","紡絆・レイラ毒","22130030"
"II","Leon","Darkening Rose","LBO","PHY","Single enemy","Physical","40.00","Dark","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Criminal Soul (II)","ダークネスローズ","20580018"
"II","Maria","Woven Bond: Maria","LBC","BLK","Single enemy","Magical","26.00","Earth, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates II Chain (max 150, field +0%) or adds 25 to the current II Chain maximum limit, grants [Chain Force Mode (Maria)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Great Bow (II)","紡絆・マリア","20560021"
"II","Maria","Woven Bond: Maria (Earth)","LBC","BLK","Single enemy","Magical","26.00","Earth, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit, grants [Chain Force Mode (Maria - Earth)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Maria's Twilight Robe (II)","紡絆・マリア地","20560023"
