"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"-","Attack","PHY","Single","Physical","1.00","-","1.50","One single attack (1.00)","Y","Lowest HP% enemy","50","Special","30151001"
"High Retaliate","Attack","PHY","Single","Physical","1.20","-","1.50","One single attack (1.20)","Y","Lowest HP% enemy","50","Combat","30151002"
"Fire Cloak","Fiery Retribution","BLK","All enemies","Magical","4.85","Fire, NE","2.50","One group attack (4.85)","Y","All enemies","50","Black Magic","30511743"
"Revenge Counter","Revenge Counter","PHY","Single enemy","Physical","2.00","Ice, NE","1.50","Two single attacks (1.00 each)","Y","Lowest HP% enemy","0","Monk","30544015"
"Intense Fire Follow-Up","Intense Fire","BLK","All enemies","Magical","6.70","Fire, NE","0.01","Five group attacks (1.34 each)","Y","All enemies","0","Black Magic","30541619"
"Magic Purge Follow-Up","Magic Purge","BLK","Single enemy","Magical","7.68","Fire, Wind, Ice, NE","0.01","Six single attacks (1.28 each)","Y","Lowest HP% enemy","0","Black Magic","30541711"
"Fluffy Dance","Fluffy Dance","NAT","All allies","Magical","2.00","Holy","0.01","Restores HP (25)","N","All allies","0","Dancer","30549044"
"Dual Awoken Magika Mode II: Elarra","Dual Magika Rufus","WHT","All allies","","","","0.01","Restores HP (55), grants [Regenga] and [High Quick Cast 2]","N","All allies","0","White Magic","31541854"
"Awoken Keeper Mode","Awoken Keeper Mode Critical","NAT","All allies","","","","0.01","Grants [Awoken Keeper Mode Critical Chance] to all allies","N","All allies","0","Support","30545082"
"Unraveled History Follow-Up","Unraveled History","NAT","All allies","","","","0.01","Grants [Critical Damage +50% 1]","N","All allies","0","Support","30545071"
"Awoken Magika","Magika Cantus","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability, damages undead","N","All allies","0","White Magic","30542614"
"Elbow Follow-Up","Elbow Blow","PHY","Single enemy","Physical","2.00","Earth, Holy, NE","0.01","One single attack (2.00) capped at 99999","Y","Lowest HP% enemy","0","Heavy","30544151"
"Aeroburst Follow-Up","Aeroburst","NAT","Single enemy","Hybrid","-","Wind, NE","0.01","Five single hybrid ranged attacks (0.40 or 1.67 each), 100% hit rate","Y","Lowest HP% enemy","0","Special","30544154"
"Mog Follow-Up","Moogle Magic","BLK","Single enemy","Magical","7.60","Holy, Fire, Ice, Lightning, NE","0.01","Five single attacks (1.52 each)","Y","Lowest HP% enemy","0","Black Magic","30540111"
"Mog Follow-Up","Moogle Heal","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","White Magic","30542311"
