"Realm","Character","Img","Name","Tier","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Points","Mastery Bonus","Honing Effects","Relic","Name (JP)","ID"
"Core","Tyro","","Judgment Grimoire","Default","PHY","All enemies","Physical","1.05","-","2.75","One group ranged attack (1.05)","Y","All enemies","250","","","-","断撃のグリモア","20140001"
"Core","Tyro","","Healing Grimoire","SB","WHT","All allies","","","","2.50","Restores HP (104) to all allies","N","All allies","250","","","Healing Grimoire (Core)","治癒のグリモア","20140002"
"Core","Tyro","","Sentinel's Grimoire","SB","NAT","All allies","","","","3.00","Grants [DEF and RES +200% (25s)] to all allies","N","All allies","250","","","Sentinel's Grimoire (Core)","鉄壁のグリモア","20140004"
"Core","Tyro","","Cyclone Grimoire","SB","BLK","All enemies","Magical","7.25","-","3.00","One group attack (7.25), [RES -50%] for 25 seconds","N","All enemies","250","","","Cyclone Grimoire (Core)","竜巻のグリモア","20140003"
"Core","Tyro","","Last Judgment Grimoire","SSB","PHY","All enemies","Physical","6.00","Earth","2.75","Three group ranged attacks (2.00 each)","N","All enemies","500","ATK +10","","Last Judgment Grimoire (Core)","真・断撃のグリモア","20140005"
"Core","Tyro","","Stormlance Grimoire","SB","PHY","Single enemy","Physical","8.00","Lightning","3.00","Four single ranged attacks (2.00 each)","N","Lowest HP% enemy","250","","","Stormlance Grimoire (Core)","-","20140000"
"Core","Tyro","","Keeper's Tome","BSB","NAT","All allies","","","","2.75","Grants [Protect], [Shell] and [Magical Blink 1] to all allies, Grants [Haste] and [Burst Mode] to the user","N","All allies","500","ATK +10","","Keeper's Tome (Core)","伝記・天衣無縫","20140006"
"Core","Tyro","","Celebration Grimoire","SB","PHY","All enemies","Physical","2.00","-","2.50","One group ranged attack (2.00), Restores HP (35) to all allies","N","All allies","250","","","Celebration Grimoire (Core)","千万世界のグリモア","20140007"
"Core","Tyro","","Arbiter's Apocrypha","OSB","PHY","Single enemy","Physical","9.00","-","2.50","One single attack (9.00) capped at 99999, Grants [ATK, DEF, MAG and RES +15% (25s)] to all allies","N","Lowest HP% enemy","500","ATK +10","","Arbiter's Apocrypha (Core)","禁書「調停者」","20140008"
"Core","Tyro","","Warder's Apocrypha","USB","NAT","All allies","","","","2.50","Grants [Haste], [Astra] and [HP Stock (2000)] to all allies, Grants [Instant Cast 2] to the user","N","All allies","500","ATK +10","","Keeper's Frock Coat (Core)","禁書「守護者」","20140009"
"Core","Tyro","","Fantasy Unbound","USB","PHY","Single enemy","Physical","6.29","-","2.50","Seventeen single attacks (0.37 each), Grants [Haste] and [ATK, DEF, MAG, RES and MND +15%] to all allies for 25 seconds","N","Lowest HP% enemy","500","ATK +10","","Tome of Fantasy (Core)","秘録「最終幻想」","20140010"
"Core","Tyro","","Divine Veil Grimoire","USB","NAT","All allies","","","","2.50","Grants [Protect], [Shell], [Haste] and [DEF and RES +200% (25s)] to all allies","N","All allies","500","ATK +10","","Divine Veil Grimoire (Core)","神壁のグリモア","20140011"
