"Common Name","Effects","Default Duration","MND Modifier","Exclusive Status","ID"
"Poison","Damages for 1/64 max HP every 5.00 seconds, persists after battle","-","-","Low Regen, Medium Regen, High Regen, Sap, Phantom Regen, Regenga","200"
"Magical Quick Cast 3","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 3 turns","-","-","-","2001"
"Magical Quick Cast 5","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 5 turns","-","-","-","2002"
"Instant Cast 2","Cast speed x9999999, lasts for 2 turns","-","-","-","2003"
"Magical Quick Cast 4","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 4 turns","-","-","-","2004"
"Physical Instant Cast 1","Cast speed x9999999 for PHY attacks, lasts for 1 turn","-","-","-","2005"
"Magical Instant Cast 1","Cast speed x9999999 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 1 turn","-","-","-","2006"
"Instant Cast 1","Cast speed x9999999, lasts for 1 turn","-","-","-","2007"
"Quick Cast 4","Cast speed x2.00, lasts for 4 turns","-","-","-","2008"
"Magical Quick Cast 1","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 1 turns","-","-","-","2009"
"Silence","Disables BLK, WHT, BLU and SUM attacks, persists after battle","20","± 2,50%","-","201"
"Machinist Quick Cast 5","Cast speed x2.00 for Monk abilities, lasts for 5 turns","-","-","-","2010"
"Machinist Instant Cast 2","Cast speed x9999999 for Machinist abilities, lasts for 2 turns","-","-","-","2011"
"Magical Quick Cast 2","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 2 turns","-","-","-","2012"
"Instant Cast 3","Cast speed x9999999, lasts for 3 turns","-","-","-","2014"
"Quick Cast 3","Cast speed x2.00, lasts for 3 turns","-","-","-","2015"
"Quick Cast 2","Cast speed x2.00, lasts for 2 turns","-","-","-","2016"
"Knight Quick Cast 2","Cast speed x2.00 for Knight abilities, lasts for 2 turns","-","-","-","2017"
"Monk Instant Cast 3","Cast speed x9999999 for Monk abilities, lasts for 3 turns","-","-","-","2018"
"Quick Cast 1","Cast speed x2.00, lasts for 1 turn","-","-","-","2019"
"Paralyze","Can't act","15","± 2,00%","All ""Retaliate"" status","202"
"High Quick Cast 1","Cast speed x3.00, lasts for 1 turn","-","-","-","2020"
"High Quick Cast 2","Cast speed x3.00, lasts for 2 turn","-","-","-","2021"
"Machinist Quick Cast 2","Cast speed x2.00 for Machinist abilities, lasts for 2 turns","-","-","-","2022"
"Jump Instant Cast 1","Cast speed x9999999 for Jump attacks, lasts for 1 turn","-","-","-","2023"
"Physical High Quick Cast 1","Cast speed x3.00 for PHY attacks, lasts for 1 turn","-","-","-","2024"
"Thief Quick Cast 2","Cast speed x2.00 for Thief abilities, lasts for 2 turns","-","-","-","2025"
"Magical Instant Cast 3","Cast speed x9999999 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 3 turns","-","-","-","2026"
"Physical High Quick Cast 2","Cast speed x3.00 for PHY attacks, lasts for 2 turns","-","-","-","2027"
"Confuse","Forces default action, affects targeting, resets ATB when set or removed, removed upon taking damage by PHY attack","30","± 2,50%","All ""Retaliate"" status, Rage, Green Cherry, Ability Berserk","203"
"Haste","Wait speed x2.00","-","-","Slow","204"
"Slow","Wait speed x0.50","20","0.005%","Haste, Infinite Haste","205"
"Extended Quick Cast","Cast speed x2.00","25","-","-","2051"
"Spellblade Quick Cast: Alternative","Cast speed x2.00 for Spellblade abilities","15","-","-","2052"
"Jump Instant Cast","Cast speed x9999999 for Jump attacks","15","-","-","2053"
"Quick Cast","Cast speed x2.00","15","-","-","2054"
"Sharpshooter Quick Cast","Cast speed x2.00 for Sharpshooter abilities","15","-","-","2055"
"Jump Quick Cast","Cast speed x2.00 for Jump attacks","15","-","-","2056"
"High Quick Cast","Cast speed x3.00","15","-","-","2057"
"Physical High Quick Cast 3","Cast speed x3.00 for PHY attacks, lasts for 3 turns","-","-","-","2058"
"Striker Mode 1","Cast speed x2.00","15","-","Striker Mode 2, Striker Mode 3","2059"
"Stop","Arrests ATB charge rate, can't act","6","± 2,00%","All ""Retaliate"" status","206"
"Striker Mode 2","Cast speed x4.00","15","-","Striker Mode 1, Striker Mode 3","2060"
"Striker Mode 3","Cast speed x6.00","15","-","Striker Mode 1, Striker Mode 2","2061"
"Spellblade High Quick Cast","Cast speed x3.00 for Spellblade abilities","15","-","-","2062"
"Darkness Quick Cast 3","Cast speed x2.00 for Darkness abilities, lasts for 3 turns","-","-","-","2063"
"Black Magic High Quick Cast","Cast speed x3.00 for Black Magic abilities","15","-","-","2064"
"Black Magic Quick Cast","Cast speed x2.00 for Black Magic abilities","15","-","-","2065"
"Magical Quick Cast","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage","15","-","-","2066"
"White Magic High Quick Cast","Cast speed x3.00 for White Magic abilities","15","-","-","2067"
"Summoning Quick Cast","Cast speed x2.00 for Summoning abilities","15","-","-","2068"
"Summoning High Quick Cast","Cast speed x3.00 for Summoning abilities","15","-","-","2069"
"Protect","DEF +100% (ignoring the buff stacking caps)","-","-","-","207"
"Spellblade Quick Cast","Cast speed x2.00 for Spellblade abilities","15","-","-","2070"
"Combat Quick Cast","Cast speed x2.00 for Combat abilities","15","-","-","2071"
"Combat High Quick Cast","Cast speed x3.00 for Combat abilities","15","-","-","2072"
"Support Quick Cast","Cast speed x2.00 for Support abilities","15","-","-","2073"
"Support High Quick Cast","Cast speed x3.00 for Support abilities","15","-","-","2074"
"Celerity Quick Cast","Cast speed x2.00 for Celerity abilities","15","-","-","2075"
"Celerity High Quick Cast","Cast speed x3.00 for Celerity abilities","15","-","-","2076"
"Dragoon Quick Cast","Cast speed x2.00 for Dragoon abilities","15","-","-","2077"
"Dragoon High Quick Cast","Cast speed x3.00 for Dragoon abilities","15","-","-","2078"
"Monk Quick Cast","Cast speed x2.00 for Monk abilities","15","-","-","2079"
"Shell","RES +100% (ignoring the buff stacking caps)","-","-","-","208"
"Monk High Quick Cast","Cast speed x3.00 for Monk abilities","15","-","-","2080"
"Thief Quick Cast","Cast speed x2.00 for Thief abilities","15","-","-","2081"
"Thief High Quick Cast","Cast speed x3.00 for Thief abilities","15","-","-","2082"
"Knight Quick Cast","Cast speed x2.00 for Knight abilities","15","-","-","2083"
"Knight High Quick Cast","Cast speed x3.00 for Knight abilities","15","-","-","2084"
"Samurai Quick Cast","Cast speed x2.00 for Samurai abilities","15","-","-","2085"
"Samurai High Quick Cast","Cast speed x3.00 for Samurai abilities","15","-","-","2086"
"Ninja Quick Cast","Cast speed x2.00 for Ninja abilities","15","-","-","2087"
"Ninja High Quick Cast","Cast speed x3.00 for Ninja abilities","15","-","-","2088"
"Bard Quick Cast","Cast speed x2.00 for Bard abilities","15","-","-","2089"
"Reflect","Redirect single-target BLK and WHT attacks to a random member of the opposite group","35","3.00%","-","209"
"Bard High Quick Cast","Cast speed x3.00 for Bard abilities","15","-","-","2090"
"Dancer Quick Cast","Cast speed x2.00 for Dancer abilities","15","-","-","2091"
"Dancer High Quick Cast","Cast speed x3.00 for Dancer abilities","15","-","-","2092"
"Machinist Quick Cast","Cast speed x2.00 for Machinist abilities","15","-","-","2093"
"Machinist High Quick Cast","Cast speed x3.00 for Machinist abilities","15","-","-","2094"
"Darkness Quick Cast","Cast speed x2.00 for Darkness abilities","15","-","-","2095"
"Darkness High Quick Cast","Cast speed x3.00 for Darkness abilities","15","-","-","2096"
"Sharpshooter High Quick Cast","Cast speed x3.00 for Sharpshooter abilities","15","-","-","2097"
"Witch Quick Cast","Cast speed x2.00 for Witch abilities","15","-","-","2098"
"Witch High Quick Cast","Cast speed x3.00 for Witch abilities","15","-","-","2099"
"Blind","ACC -50%, decreases hit rate by 75%, persists after battle","60","± 2,00%","Eye Power","210"
"Heavy Quick Cast","Cast speed x2.00 for Heavy abilities","15","-","-","2100"
"Heavy High Quick Cast","Cast speed x3.00 for Heavy abilities","15","-","-","2101"
"Black Magic Quick Cast 2","Cast speed x2.00 for Black Magic abilities, lasts for 2 turns","-","-","-","2102"
"Black Magic Quick Cast 3","Cast speed x2.00 for Black Magic abilities, lasts for 3 turns","-","-","-","2103"
"White Magic Quick Cast 2","Cast speed x2.00 for White Magic abilities, lasts for 2 turns","-","-","-","2104"
"White Magic Quick Cast 3","Cast speed x2.00 for White Magic abilities, lasts for 3 turns","-","-","-","2105"
"Summoning Quick Cast 2","Cast speed x2.00 for Summoning abilities, lasts for 2 turns","-","-","-","2106"
"Summoning Quick Cast 3","Cast speed x2.00 for Summoning abilities, lasts for 3 turns","-","-","-","2107"
"Spellblade Quick Cast 2","Cast speed x2.00 for Spellblade abilities, lasts for 2 turns","-","-","-","2108"
"Spellblade Quick Cast 3","Cast speed x2.00 for Spellblade abilities, lasts for 3 turns","-","-","-","2109"
"Sleep","Arrests ATB charge rate, can't act, removed upon taking damage by PHY attack","30","± 2,00%","All ""Retaliate"" status","211"
"Combat Quick Cast 2","Cast speed x2.00 for Combat abilities, lasts for 2 turns","-","-","-","2110"
"Combat Quick Cast 3","Cast speed x2.00 for Combat abilities, lasts for 3 turns","-","-","-","2111"
"Support Quick Cast 2","Cast speed x2.00 for Support abilities, lasts for 2 turns","-","-","-","2112"
"Support Quick Cast 3","Cast speed x2.00 for Support abilities, lasts for 3 turns","-","-","-","2113"
"Celerity Quick Cast 2","Cast speed x2.00 for Celerity abilities, lasts for 2 turns","-","-","-","2114"
"Celerity Quick Cast 3","Cast speed x2.00 for Celerity abilities, lasts for 3 turns","-","-","-","2115"
"Dragoon Quick Cast 2","Cast speed x2.00 for Dragoon abilities, lasts for 2 turns","-","-","-","2116"
"Dragoon Quick Cast 3","Cast speed x2.00 for Dragoon abilities, lasts for 3 turns","-","-","-","2117"
"Monk Quick Cast 2","Cast speed x2.00 for Monk abilities, lasts for 2 turns","-","-","-","2118"
"Monk Quick Cast 3","Cast speed x2.00 for Monk abilities, lasts for 3 turns","-","-","-","2119"
"Petrify","Arrests ATB charge rate, can't act, resets ATB when set, persists after battle, counts towards Game Over","-","-","All","212"
"Thief Quick Cast 3","Cast speed x2.00 for Thief abilities, lasts for 3 turns","-","-","-","2120"
"Knight Quick Cast 3","Cast speed x2.00 for Knight abilities, lasts for 3 turns","-","-","-","2121"
"Samurai Quick Cast 2","Cast speed x2.00 for Samurai abilities, lasts for 2 turns","-","-","-","2122"
"Samurai Quick Cast 3","Cast speed x2.00 for Samurai abilities, lasts for 3 turns","-","-","-","2123"
"Ninja Quick Cast 2","Cast speed x2.00 for Ninja abilities, lasts for 2 turns","-","-","-","2124"
"Ninja Quick Cast 3","Cast speed x2.00 for Ninja abilities, lasts for 3 turns","-","-","-","2125"
"Bard Quick Cast 2","Cast speed x2.00 for Bard abilities, lasts for 2 turns","-","-","-","2126"
"Bard Quick Cast 3","Cast speed x2.00 for Bard abilities, lasts for 3 turns","-","-","-","2127"
"Dancer Quick Cast 2","Cast speed x2.00 for Dancer abilities, lasts for 2 turns","-","-","-","2128"
"Dancer Quick Cast 3","Cast speed x2.00 for Dancer abilities, lasts for 3 turns","-","-","-","2129"
"Doom: 60","Causes Doom with a 60 seconds timer","-","-","-","213"
"Machinist Quick Cast 3","Cast speed x2.00 for Machinist abilities, lasts for 3 turns","-","-","-","2130"
"Darkness Quick Cast 2","Cast speed x2.00 for Darkness abilities, lasts for 2 turns","-","-","-","2131"
"Sharpshooter Quick Cast 2","Cast speed x2.00 for Sharpshooter abilities, lasts for 2 turns","-","-","-","2132"
"Sharpshooter Quick Cast 3","Cast speed x2.00 for Sharpshooter abilities, lasts for 3 turns","-","-","-","2133"
"Witch Quick Cast 2","Cast speed x2.00 for Witch abilities, lasts for 2 turns","-","-","-","2134"
"Witch Quick Cast 3","Cast speed x2.00 for Witch abilities, lasts for 3 turns","-","-","-","2135"
"Heavy Quick Cast 2","Cast speed x2.00 for Heavy abilities, lasts for 2 turns","-","-","-","2136"
"Heavy Quick Cast 3","Cast speed x2.00 for Heavy abilities, lasts for 3 turns","-","-","-","2137"
"Black Magic High Quick Cast 2","Cast speed x3.00 for Black Magic abilities, lasts for 2 turns","-","-","-","2138"
"Black Magic High Quick Cast 3","Cast speed x3.00 for Black Magic abilities, lasts for 3 turns","-","-","-","2139"
"Instant KO","HP = 0 when set","-","-","-","214"
"White Magic High Quick Cast 2","Cast speed x3.00 for White Magic abilities, lasts for 2 turns","-","-","-","2140"
"White Magic High Quick Cast 3","Cast speed x3.00 for White Magic abilities, lasts for 3 turns","-","-","-","2141"
"Summoning High Quick Cast 2","Cast speed x3.00 for Summoning abilities, lasts for 2 turns","-","-","-","2142"
"Summoning High Quick Cast 3","Cast speed x3.00 for Summoning abilities, lasts for 3 turns","-","-","-","2143"
"Spellblade High Quick Cast 2","Cast speed x3.00 for Spellblade abilities, lasts for 2 turns","-","-","-","2144"
"Spellblade High Quick Cast 3","Cast speed x3.00 for Spellblade abilities, lasts for 3 turns","-","-","-","2145"
"Combat High Quick Cast 2","Cast speed x3.00 for Combat abilities, lasts for 2 turns","-","-","-","2146"
"Combat High Quick Cast 3","Cast speed x3.00 for Combat abilities, lasts for 3 turns","-","-","-","2147"
"Support High Quick Cast 2","Cast speed x3.00 for Support abilities, lasts for 2 turns","-","-","-","2148"
"Support High Quick Cast 3","Cast speed x3.00 for Support abilities, lasts for 3 turns","-","-","-","2149"
"Berserk","ATK +25%, forces default action, affects targeting","20","± 2,50%","All ""Retaliate"" status, Rage, Green Cherry, Ability Berserk, Confuse","215"
"Celerity High Quick Cast 2","Cast speed x3.00 for Celerity abilities, lasts for 2 turns","-","-","-","2150"
"Celerity High Quick Cast 3","Cast speed x3.00 for Celerity abilities, lasts for 3 turns","-","-","-","2151"
"Dragoon High Quick Cast 2","Cast speed x3.00 for Dragoon abilities, lasts for 2 turns","-","-","-","2152"
"Dragoon High Quick Cast 3","Cast speed x3.00 for Dragoon abilities, lasts for 3 turns","-","-","-","2153"
"Monk High Quick Cast 2","Cast speed x3.00 for Monk abilities, lasts for 2 turns","-","-","-","2154"
"Monk High Quick Cast 3","Cast speed x3.00 for Monk abilities, lasts for 3 turns","-","-","-","2155"
"Thief High Quick Cast 2","Cast speed x3.00 for Thief abilities, lasts for 2 turns","-","-","-","2156"
"Thief High Quick Cast 3","Cast speed x3.00 for Thief abilities, lasts for 3 turns","-","-","-","2157"
"Knight High Quick Cast 2","Cast speed x3.00 for Knight abilities, lasts for 2 turns","-","-","-","2158"
"Knight High Quick Cast 3","Cast speed x3.00 for Knight abilities, lasts for 3 turns","-","-","-","2159"
"Low Regen","Heals for 3% max HP every 3.00 seconds","30","3.00%","Medium Regen, High Regen, Poison, Sap, Zombie, Regenga","216"
"Samurai High Quick Cast 2","Cast speed x3.00 for Samurai abilities, lasts for 2 turns","-","-","-","2160"
"Samurai High Quick Cast 3","Cast speed x3.00 for Samurai abilities, lasts for 3 turns","-","-","-","2161"
