"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Tyro","Fantasy Grimoire Vol. II","Almighty Chapter","1","Any","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","Four single ranged hybrid attacks (0.81 or 2.75 each), grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Support","善知善能の章","30545100","1099"
"Tyro","Fantasy Grimoire Vol. II","Divine Chapter","2","Any","NAT","Self","","","","1.65","Grants [Conditional Attach Element From Party] and [High Quick Cast 1]","N","Self","180","Support","天知真命の章","30545101","1099"
"Elarra","Magika Animus","Magika Cure","1","White Magic","WHT","Single ally","","","","0.01","Restores HP (105), grants [White Magic Heals +30% Boost 1] to the user","N","Lowest HP% ally","70","White Magic","マギカ・ケアル","30542363","2"
"Elarra","Magika Animus","Magika Somnium","2","Bard, Dancer","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","マギカ・ソムニウム","30542364","1001"
"Elarra","Magika Stella","Magika Clarus","1","Bard, Dancer","WHT","Single ally","","","","0.01","Restores HP (85), grants [HP Stock (2000)]","N","Lowest HP% ally","70","White Magic","マギカ・クラルス","31540968","1001"
"Elarra","Magika Stella","Magika Lux","2","White Magic","NAT","All allies","","","","1.65","Grants [High Quick Cast 1]","N","All allies","100","Bard","マギカ・ルクス","31540969","2"
"Dr. Mog","Rainbow Magic","Sage Counsel","1","Any","BLK","Single enemy","Magical","16.40","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","90","Black Magic","賢知なる教え","31540350","1099"
"Dr. Mog","Rainbow Magic","Tome of Knowledge","2","Any","NAT","Self","","","","0.01","Grants [Prismatic +50% Boost 1] and [High Quick Cast 1]","N","Self","70","Black Magic","全知の秘録","31540351","1099"
"Biggs","Prime Explosion","Spirited Strike","1","Earth, Holy","PHY","Single enemy","Physical","6.00","Earth, Holy","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Knight","気合の剣撃","31540619","2013"
"Biggs","Prime Explosion","Stalwart Stance","2","Earth, Holy","NAT","Self","","","","0.01","Grants [100% Critical 1] and Earnest Agent +1","N","Self","70","Knight","強堅なる構え","31540620","2013"
"Wedge","Flying Star","Vacuum Cutter","1","Wind","NAT","Single enemy","Hybrid","-","Wind, NE","1.65","Six single ranged hybrid attacks (0.90 or 3.05 each)","Y","Lowest HP% enemy","90","Black Magic","バキュームカッター","31540615","104"
"Wedge","Flying Star","Wind Booster","2","Wind","NAT","Single enemy","Hybrid","-","Wind, NE","0.83","Three single ranged hybrid attacks (0.80 or 2.70 each), causes [Imperil Wind 10% (15s)] every two activations, grants [Buff Wind 10% (15s)] to the user every two activations","Y","Lowest HP% enemy","70","Thief","ウィンドブースター","31540616","104"
"Warrior of Light","Photon Wave","Photon Strike","1","Holy","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each), 100% additional critical chance if user has [Dual Blink 1] or [Dual Blink 2]","Y","Lowest HP% enemy","90","Knight","フォトンストライク","30548648","106"
"Warrior of Light","Photon Wave","Crystal Boost","2","Holy","PHY","Single enemy","Physical","2.70","Holy, NE","1.65","Three single attacks (0.90 each), 100% additional critical chance if user has [Dual Blink 1] or [Dual Blink 2], grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","90","Knight","クリスタルブースト","30548649","106"
"Warrior of Light","True Shining Saber","Shining Thrust","1","Holy","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each) with 20% additional critical damage","Y","Lowest HP% enemy","90","Knight","シャイニングスラスト","31540978","106"
"Warrior of Light","True Shining Saber","Lucent Boost","2","Holy","NAT","Self","","","","0.01","Grants [Quick Cast 3]","N","Self","70","Knight","","31540979","106"
"Meia","Primal Undine","Water Surface","1","Water","BLK","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each), grants [Water Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Black Magic","ウォータサーフェス","31540112","105"
"Meia","Primal Undine","Aberrant Witch","2","Water","BLK","Single enemy","Magical","9.15","Water, NE","1.65","Three single attacks (3.05 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Black Magic","アベラントウィッチ","31540113","105"
"Garland","Sinister Reincarnation","Chaos Gouge","1","Dark","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each), grants [40% Damage Reduction Barrier 1] to all allies if the user has Chaos Flux level 1, causes Chaos Flux -1 to the user","Y","Lowest HP% enemy","90","Darkness","チェーンインパクト","31540292","107"
"Garland","Sinister Reincarnation","Round Edge","2","Dark","PHY","Single enemy","Physical","2.70","Dark, NE","1.65","Three single attacks (0.90 each), grants [Quick Cast 1] and Chaos Flux +1 to the user","Y","Lowest HP% enemy","90","Darkness","ラウンドエッジ","31540293","107"
"Garland","True Round Edge","Chaotic Shock","1","Dark","PHY","Single enemy","Physical","5.70","Dark, NE","1.65","Six single attacks (0.85/0.95 each) at Heavy Charge level 0-1/2+","Y","Lowest HP% enemy","90","Heavy","カオスショック","31541849","107"
"Garland","True Round Edge","Chaotic Bump","2","Dark","PHY","Single enemy","Physical","2.70","Dark, NE","1.65","Three single attacks (0.90 each), grants [Quick Cast 2] and [Heavy Charge +1] to the user ","Y","Lowest HP% enemy","90","Heavy","カオスバンプ","31541850","107"
"Sarah","Far-Reaching Prayer","Peaceful Exultation","1","Bard, White Magic","WHT","All allies","","","","0.01","Grants [HP Stock (1000)]/[HP Stock (2000)]/[HP Stock (3000)] if the user has Desire level 1/2/3","N","All allies","70","White Magic","平和への凱歌","31540296","1005"
"Sarah","Far-Reaching Prayer","Aria of Desire","2","Bard, White Magic","NAT","All allies","","","","1.65","Restores HP (25), grants Desire +1 to the user","N","All allies","100","Bard","想望の詠唱曲","31540297","1005"
"Echo","Faerie Tale","Vernal Breeze","1","Black Magic, Dancer","NAT","All allies","","","","0.01","Grants [High Quick Cast 1]","N","All allies","70","Dancer","はるかぜのおうえん","31540930","1015"
"Echo","Faerie Tale","Fey Voice","2","Black Magic, Dancer","NAT","All allies","","","","1.65","Restores HP (55) if the user has Guiding Faerie level 1, grants [Last Stand] if the user has Guiding Faerie level 1, restores HP (25) if the user has Guiding Faerie level 0, causes Guiding Faerie -1 to the user","N","All allies","100","Dancer","妖精の声","31540931","1015"
"Thief (I)","Crescent Gale","Hollow Edge","1","Thief","PHY","Single enemy","Physical","4.80","Wind, Poison, NE","1.20","Six single attacks (0.80 each), grants [Quick Cast 1] to all FF1 allies","Y","Lowest HP% enemy","70","Thief","ホロウエッジ","31541105","10"
"Thief (I)","Crescent Gale","Dagger Slash","2","Thief","PHY","Single enemy","Physical","2.40","Wind, Poison, NE","0.83","Three single attacks (0.80 each), grants [Wind/Poison Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","70","Thief","ダガースラッシュ","31541106","10"
"Master","Raging Spirit","Uncanny Wild Strike","1","Monk","PHY","Single enemy","Physical","5.40","Earth, Fire, Lightning, NE","1.65","Six single attacks (0.90 each), 25%/50%/75%/100% additional critical chance scaling with activations","Y","Lowest HP% enemy","90","Monk","妙技・乱舞連拳","31541153","9"
"Master","Raging Spirit","Shimmer Fist","2","Monk","PHY","Single enemy","Physical","0.80","Earth, Fire, Lightning, NE","0.01","One single attack (0.80), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","60","Monk","瞬技・真飛巴拳","31541154","9"
"Matoya","Cauldron Chant","Eerie Chant","1","Witch","BLK","Single enemy","Magical","21.35","Fire, Ice, Lightning, NE","2.60","Seven single attacks (3.05 each)","Y","Lowest HP% enemy","90","Witch","不思議な呪文","31541150","20"
"Matoya","Cauldron Chant","Witch's Infusion","2","Witch","BLK","Single enemy","Magical","9.15","Fire, Ice, Lightning, NE","1.65","Three single attacks (3.05 each), grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Witch","魔女の煎じ薬","31541151","20"
"Wol","Begraben","Hard Impact","1","Earth, Holy","PHY","Single enemy","Physical","5.40","Earth, Holy, NE","1.65","Six single attacks (0.90 each), causes [ATK and MAG -50% (8s)]/[DEF, RES and MND -50% (8s)] every 1+2n/2+2n activations","Y","Lowest HP% enemy","90","Knight","ハードインパクト","31541380","2013"
